web-scraper-order,web-scraper-start-url,link,link-href,title,text
"1529176303-76","http://zelda.wikia.com/wiki/Category:Letters","Letter to Kafei","http://zelda.wikia.com/wiki/Letter_to_Kafei","Letter to Kafei","[{""text"":""\""You were given a letter to Kafei! Quick! Deliver it for her! Take it to a mailbox.\""""}]"
"1529176312-80","http://zelda.wikia.com/wiki/Category:Letters","Letter (Link's Awakening)","http://zelda.wikia.com/wiki/Letter_(Link%27s_Awakening)","Letter (Link's Awakening)","[]"
"1529176290-71","http://zelda.wikia.com/wiki/Category:Letters","Note to Mom","http://zelda.wikia.com/wiki/Note_to_Mom","Note to Mom","[{""text"":""For the item from Majora's Mask, see Letter to Mama.""},{""text"":""\""You accepted a Note to Mom! It's so sad you could almost cry.\""""}]"
"1529176320-84","http://zelda.wikia.com/wiki/Category:Letters","Father's Letter","http://zelda.wikia.com/wiki/Father%27s_Letter","Father's Letter","[{""text"":""\""You accepted Father's Letter! It is a letter from a father addressed to his son.\""""}]"
"1529176299-74","http://zelda.wikia.com/wiki/Category:Letters","Linebeck's Letter","http://zelda.wikia.com/wiki/Linebeck%27s_Letter","Linebeck's Letter","[]"
"1529176327-87","http://zelda.wikia.com/wiki/Category:Letters","Auru's Memo","http://zelda.wikia.com/wiki/Auru%27s_Memo","Auru's Memo","[{""text"":""\""You got Auru's memo! Auru wrote this to Fyer of Lake Hylia.\""""}]"
"1529176297-73","http://zelda.wikia.com/wiki/Category:Letters","Maggie's Letter","http://zelda.wikia.com/wiki/Maggie%27s_Letter","Maggie's Letter","[]"
"1529176308-78","http://zelda.wikia.com/wiki/Category:Letters","Letter in a Bottle","http://zelda.wikia.com/wiki/Letter_in_a_Bottle","Letter in a Bottle","[{""text"":""'This article is about the Ocarina of Time item. For the A Link Between Worlds item, see Message in a Bottle.""},{""text"":""\""Are you saying my father asked you to come here to save me? I'd never ask anyone to do such a thing! \""Letter in a Bottle?\"" I have no idea what you're talking about! My father is worried about me? I don't care!\""""},{""text"":""\""Help me. I'm waiting for you inside Lord Jabu-Jabu's belly.\""""}]"
"1529176316-82","http://zelda.wikia.com/wiki/Category:Letters","Jolene's Letter","http://zelda.wikia.com/wiki/Jolene%27s_Letter","Jolene's Letter","[{""text"":""\""Jolene wrote this letter to her younger sister. She might be happy if you delivered it to her.\""""}]"
"1529176325-86","http://zelda.wikia.com/wiki/Category:Letters","Bagu's Note","http://zelda.wikia.com/wiki/Bagu%27s_Note","Bagu's Note","[{""text"":""\""SHOW MY NOTE TO RIVER MAN.\""""}]"
"1529176322-85","http://zelda.wikia.com/wiki/Category:Letters","Cawlin's Letter","http://zelda.wikia.com/wiki/Cawlin%27s_Letter","Cawlin's Letter","[{""text"":""\""Greetings. My love for you is wider than the horizon and deeper than the clouds. I would very much like it if you would go out with me.\nYour brave knight,\nCawlin\""""}]"
"1529176292-72","http://zelda.wikia.com/wiki/Category:Letters","Moblin's Letter","http://zelda.wikia.com/wiki/Moblin%27s_Letter","Moblin's Letter","[{""text"":""\""I... like... you...Ma...ggie...so...much...that...I...want...to...eat you...for dinner.\""""}]"
"1529176286-69","http://zelda.wikia.com/wiki/Category:Letters","Renado's Letter","http://zelda.wikia.com/wiki/Renado%27s_Letter","Renado's Letter","[{""text"":""\""You got Renado's letter! It carefully details how to treat Ilia to get her memory back.\""""}]"
"1529176301-75","http://zelda.wikia.com/wiki/Category:Letters","Letter to Mama","http://zelda.wikia.com/wiki/Letter_to_Mama","Letter to Mama","[{""text"":""For the item from The Wind Waker, see Note to Mom.""},{""text"":""\""Now Kafei... He says he wants you to take this to his mother.\""""}]"
"1529176284-68","http://zelda.wikia.com/wiki/Category:Letters","Stationery","http://zelda.wikia.com/wiki/Stationery","Stationery","[{""text"":""\""You got Stationery! Who will you write to?\""""}]"
"1529176282-67","http://zelda.wikia.com/wiki/Category:Letters","Zelda's Letter","http://zelda.wikia.com/wiki/Zelda%27s_Letter","Zelda's Letter","[{""text"":""\""This is Link... He is under my orders to save Hyrule.\""""}]"
"1529176288-70","http://zelda.wikia.com/wiki/Category:Letters","Ooccoo's Note","http://zelda.wikia.com/wiki/Ooccoo%27s_Note","Ooccoo's Note","[{""text"":""\""Ooccoo has things to do. So she will remain here. If you return, let's get together.\""""}]"
"1529176318-83","http://zelda.wikia.com/wiki/Category:Letters","Finley's Letter","http://zelda.wikia.com/wiki/Finley%27s_Letter","Finley's Letter","[{""text"":""This article is a stub. You can help Zeldapedia by  expanding it.""}]"
"1529176314-81","http://zelda.wikia.com/wiki/Category:Letters","Letter (Four Swords Adventures)","http://zelda.wikia.com/wiki/Letter_(Four_Swords_Adventures)","Letter (Four Swords Adventures)","[{""text"":""\""You got the Letter! Savior of romance!\""""}]"
"1529176306-77","http://zelda.wikia.com/wiki/Category:Letters","Letter of Introduction","http://zelda.wikia.com/wiki/Letter_of_Introduction","Letter of Introduction","[{""text"":""\""OK. Take this Letter of Introduction to the Graceful Goron! If you show that to the Graceful Goron, he'll understand.\""""}]"
"1529176310-79","http://zelda.wikia.com/wiki/Category:Letters","Letter (The Legend of Zelda)","http://zelda.wikia.com/wiki/Letter_(The_Legend_of_Zelda)","Letter (The Legend of Zelda)","[{""text"":""\""SHOW THIS TO THE OLD WOMAN\""""}]"
